epochs,error
363,0.08000664763848733
364,0.07968228321438754
365,0.07936043411170733
366,0.07904107167341654
367,0.07872416767270132
368,0.07840969430495213
369,0.07809762417992973
370,0.07778793031410482
371,0.07748058612316663
372,0.07717556541469586
373,0.07687284238099876
374,0.07657239159209658
375,0.07627418798886858
376,0.0759782068763423
377,0.0756844239171299
378,0.07539281512500504
379,0.0751033568586173
380,0.07481602581534136
381,0.07453079902525667
382,0.07424765384525485
383,0.07396656795327211
384,0.07368751934264207
385,0.07341048631656863
386,0.07313544748271289
387,0.07286238174789393
388,0.07259126831289926
389,0.07232208666740289
390,0.07205481658498791
391,0.07178943811827189
392,0.0715259315941316
393,0.07126427760902575
394,0.0710044570244127
395,0.07074645096226109
396,0.07049024080065124
397,0.07023580816946548
398,0.0699831349461641
399,0.06973220325164761
400,0.06948299544619925
401,0.06923549412551025
402,0.06898968211678272
403,0.06874554247490969
404,0.06850305847873056
405,0.06826221362736025
406,0.0680229916365893
407,0.06778537643535534
408,0.06754935216228225
409,0.06731490316228667
410,0.0670820139832501
411,0.06685066937275519
412,0.0666208542748842
413,0.06639255382707938
414,0.06616575335706255
415,0.06594043837981348
416,0.065716594594606
417,0.06549420788209925
418,0.06527326430148446
419,0.06505375008768487
420,0.06483565164860813
421,0.06461895556244997
422,0.06440364857504842
423,0.06418971759728614
424,0.06397714970254213
425,0.06376593212418882
426,0.06355605225313664
427,0.06334749763542263
428,0.06314025596984353
429,0.06293431510563144
430,0.06272966304017259
431,0.06252628791676662
432,0.06232417802242631
433,0.062123321785717715
434,0.06192370777463785
435,0.06172532469453139
436,0.06152816138604384
437,0.06133220682311149
438,0.06113745011098698
439,0.060943880484299176
440,0.06075148730514832
441,0.06056026006123364
442,0.060370188364014546
443,0.06018126194690336
444,0.05999347066348967
445,0.05980680448579598
446,0.05962125350256315
447,0.05943680791756531
448,0.05925345804795441
449,0.05907119432263247
450,0.058890007280652495
451,0.058709887569645805
452,0.058530825944277096
453,0.05835281326472492
454,0.0581758404951886
455,0.05799989870241949
456,0.057824979054278254
457,0.057651072818314796
458,0.05747817136037355
459,0.05730626614322089
460,0.057135348725195975
