epochs,error
104,0.06366752472925805
105,0.06394233315227178
106,0.06393029714398364
107,0.06351945189131332
108,0.06335486804327788
109,0.06356278842043572
110,0.06322294157441283
111,0.06303129114430134
112,0.06257197096266763
113,0.06243439804149441
114,0.06249127624557531
115,0.06243406996651734
116,0.06234748656588868
117,0.062203139966416174
118,0.062269778750355234
119,0.06233622071845497
120,0.06251103420402962
121,0.06298233406140567
122,0.062671801042902
123,0.06288142502555698
124,0.06280084066370403
125,0.06255208200127127
126,0.06283996169490347
127,0.06261570648182939
128,0.0625333193686993
129,0.06262634930915052
130,0.062894218943968
131,0.06300691175542095
132,0.06272952093157538
133,0.06266895864097835
134,0.06263724752327685
135,0.06256627657926503
136,0.06273174104029021
137,0.06258368956829807
138,0.06258909334885814
139,0.062455325931450235
140,0.0630740092379546
141,0.06253819065663589
142,0.06266275722433308
143,0.0628537744015611
144,0.06318075062749648
145,0.06317834072046369
146,0.06375698812728567
147,0.0643493644943771
148,0.06478706467430682
149,0.06505404919129236
150,0.0644662091669815
151,0.06384782623746561
152,0.06347604768432448
153,0.06320888976188518
154,0.06285971027028493
155,0.06280120584160251
156,0.06318338361185667
157,0.0630165507289208
158,0.06296398707847865
159,0.0623824407371338
160,0.06285855952540671
161,0.0626589959232679
162,0.06311875102348848
163,0.06352832147265641
164,0.06290520641578286
165,0.06299557529806575
166,0.06345564391076505
167,0.06349051197829436
168,0.06354481115267449
169,0.06327586834311427
170,0.06323767768624952
171,0.06279553856557209
172,0.06271587432466207
173,0.06256900739854435
174,0.06245207777682533
175,0.062424819778352535
176,0.06222919939004665
177,0.06222223609330109
178,0.062138823835959464
179,0.06233849559241353
180,0.06245164558820682
181,0.06242802005174105
182,0.06323901074861857
183,0.06302207147016141
184,0.06283967138048104
185,0.06296489987449594
186,0.06320589317801024
187,0.06300540625199384
188,0.06294720829148748
189,0.06301887694682971
190,0.06295777962198262
191,0.06286744055233244
192,0.06307357371916378
193,0.06302542388612989
194,0.06326251880905524
195,0.06335661444646266
196,0.06294653726825643
197,0.062480166463109325
198,0.06273648699544486
199,0.06255051621594003
200,0.062325693570526114
201,0.062180989633910076
202,0.0622891309042654
203,0.06228462978476288
204,0.0626400563325203
205,0.06281929429306166
206,0.06275685137037425
207,0.06261135497391195
208,0.062463291517572024
209,0.06237556796766198
210,0.06229160421854561
211,0.06274982021035931
212,0.062499210301584465
213,0.06239221493120665
214,0.0623289882937356
215,0.06221332942779688
216,0.06222394477819481
217,0.062304600245690074
218,0.06223300681368342
219,0.06218544654358209
220,0.06218918757151602
221,0.06225221169182391
222,0.062337281763939226
223,0.06234176342766595
224,0.06232552653805237
225,0.06240829547349673
226,0.06248614768755247
227,0.06247938766847149
228,0.06271448300298116
229,0.06251912638927178
230,0.06291668802986622
231,0.06279790721661639
232,0.06256763460171093
233,0.06266427403975103
234,0.0628095755192929
235,0.06318051856978288
236,0.06307475288819868
237,0.06276756402741017
238,0.06262075943960972
239,0.06243048682197893
240,0.06257695703142957
241,0.06252642626107173
242,0.06249272529427808
243,0.06229081752755165
244,0.062463025152936405
245,0.062221149000167564
246,0.06204559915306085
247,0.062051553177186476
248,0.062281489128555
249,0.06219368372415229
250,0.06204621164560802
251,0.06264990030719449
252,0.06260201636671218
253,0.06258443765242974
254,0.06251104345926457
255,0.06255698263619656
256,0.06291382629179934
257,0.06299630071151018
258,0.06289807014485108
259,0.06281838516567999
260,0.06274669798775978
261,0.06309184309194672
262,0.06300757141689099
263,0.06290024996300626
264,0.06291644895864776
265,0.062427998730798455
266,0.0627030713642118
267,0.06288374683373682
268,0.0628584252750631
269,0.06262655206243158
270,0.06247790682402236
271,0.06242152780965979
272,0.06249284043526785
273,0.06249582039205864
274,0.06290533017158506
275,0.06287149730126117
276,0.06283392612420068
277,0.0630502017664602
278,0.06271546552980847
279,0.06272794567628412
280,0.06264015731066536
281,0.062409249118628926
282,0.06234881291052924
283,0.06225870330977569
284,0.062463529038282437
285,0.06241118782316572
286,0.06263402690269622
287,0.06267996840503062
288,0.06264438560781099
289,0.06266407985370614
290,0.06294424821358734
291,0.06322844665471263
292,0.06320711985685946
293,0.06305111961494661
294,0.06316136232558527
295,0.06350057512661082
296,0.06363579516753469
297,0.06334234562473959
298,0.06338340774080377
299,0.06324542739740412
300,0.06330664544479245
301,0.0630318083086078
302,0.06255613926810447
303,0.06256957399840572
304,0.06251296460086458
305,0.06258816678785636
306,0.06225194373953996
307,0.06237676814740858
308,0.0631013758292626
309,0.06371017891428683
310,0.06402532048360904
311,0.06364212331069845
312,0.06347935281590197
313,0.06331902002302305
314,0.06349309986759576
315,0.06381077893509962
316,0.06332110387426797
317,0.06379052870059469
318,0.06325160431919952
319,0.06290812748747338
320,0.06302138687542529
321,0.06296919046502182
322,0.06280703312587524
323,0.06291810695907732
324,0.06298696824910972
325,0.06298388476344705
326,0.06288181506102053
327,0.06284973198982752
328,0.06286663617765682
329,0.06307247460336672
330,0.0630185165635511
331,0.06297906060735665
332,0.06317020031663949
333,0.06302189689006278
334,0.06288473381058614
335,0.06292024862682305
336,0.06312599478562878
337,0.06287330081551318
338,0.06287701267258651
339,0.06256552914173535
340,0.06248960662065204
341,0.062431938841329776
342,0.062373096131718216
343,0.06225425379043324
344,0.06230794677280399
345,0.06238031446178145
346,0.06260726186539264
347,0.06240336544719769
348,0.06242317952756187
349,0.06232504585621546
350,0.062207014080912476
351,0.06234682123317508
352,0.06231042496417337
353,0.06227691452320666
354,0.06238250395371825
355,0.062429263598484525
356,0.06241834384644685
357,0.06255494757096107
358,0.06284840145192312
359,0.06316903615698742
360,0.06295045601883557
361,0.06271603091913935
362,0.06292702646015308
363,0.06291694694056858
364,0.06353547425682383
365,0.06347381437343838
366,0.06337283393186957
367,0.06320948987481448
368,0.0634243888247732
369,0.06305432264000689
370,0.06295401726358768
371,0.06297867919406093
372,0.06325897425333261
373,0.06307909442515558
374,0.06335601695569149
375,0.06327230135339731
376,0.06314356270619471
377,0.06303079033588023
378,0.06300704717105107
379,0.06296006605627842
380,0.06325907281602021
381,0.06317937088095463
382,0.06313510855360854
383,0.06271180283229695
384,0.06264544166793275
385,0.0627057077071981
386,0.06267022331220311
387,0.06273148663259975
388,0.06296962511973395
389,0.06315660401125113
390,0.06350072399074143
391,0.06341190530844984
392,0.06322955900681088
393,0.06289475290024889
394,0.0628177987814407
395,0.06288933865628592
396,0.0628766659948033
397,0.06253507471219474
398,0.06270972444983965
399,0.06258476041626253
400,0.062428318114827124
401,0.06241049442040715
402,0.0626298076435981
403,0.06303437479273293
404,0.06313486569765332
405,0.06332274825240296
406,0.06356931815502165
407,0.06340099064666536
408,0.06321489574463508
409,0.06306459623572475
410,0.06292661775101727
411,0.06325500664540937
412,0.06316955715585947
413,0.06288264887423212
414,0.06289482501710474
415,0.06273130103039293
416,0.06234002894304913
417,0.06231798962676985
418,0.06242419713318732
419,0.06229716961367584
420,0.06217768134221887
421,0.06208276881244736
422,0.06215725179974532
423,0.06214029712704342
424,0.06210813388212236
425,0.06233215675265254
426,0.06225433109775377
427,0.0622476864996784
428,0.062270287927119236
429,0.062269654046986575
430,0.06224712399012128
431,0.062160844204985785
432,0.06244090248928236
433,0.06246443943250124
434,0.06245507244174644
435,0.06276374519152318
436,0.06266085176505319
437,0.06251158518778976
438,0.062491744785955206
439,0.06235609716943665
440,0.062298377344252275
441,0.06246055548870689
442,0.062282150476966405
443,0.062168972812289
444,0.06226726502626024
445,0.06222865018002738
446,0.062436710022469255
447,0.06262898681226778
448,0.0625798540675008
449,0.06251560355428215
450,0.06263547187416682
451,0.06321480367088046
452,0.06315198041865079
453,0.06308813662474069
454,0.06323498731545782
455,0.06312510600291603
456,0.06299129207498173
457,0.0629885097755888
458,0.06319808782106097
459,0.06304804807614395
460,0.0629639144698746
461,0.06281601648707512
462,0.06255011874634361
463,0.0626174772994799
464,0.0627580276352323
465,0.06317415369661525
466,0.06302650518941065
467,0.06281799338142006
468,0.06262815093636868
469,0.06279434743502701
470,0.0627988108947389
471,0.06327485873378438
472,0.06387826330146798
473,0.0636566430972232
474,0.06332319276784648
475,0.06358355749551593
476,0.06382325850484183
477,0.06352156839790814
478,0.06312596021815269
479,0.06302456502775242
480,0.06298706718049132
481,0.062920838763756
482,0.06274985071356053
483,0.06284783818158525
484,0.06307180554553685
485,0.06322459610247437
486,0.0628544525068097
487,0.06287177469579287
488,0.06277139279191281
489,0.06273246925670214
490,0.0626685117297877
491,0.06257796652050997
492,0.06243365285589644
493,0.062398307532669506
494,0.06252596751755599
495,0.062464049714751335
496,0.062526074379961
497,0.06245371832689576
498,0.06271084934454363
499,0.06293355304111271
500,0.06291537283892092
